Scientific Name,Primary,Class,Order,Family,Genus,Species,Authority,Infrarank,Infrarank Type,Infrarank Authority,Red List Species ID,Modified Year,Category,Criteria
Aculeola nigra,TRUE,CHONDRICHTHYES,SQUALIFORMES,ETMOPTERIDAE,Aculeola,nigra,"de Buen, 1959",,,,44653,2004,DD,
Aetobatus flagellum,TRUE,CHONDRICHTHYES,RAJIFORMES,MYLIOBATIDAE,Aetobatus,flagellum,"(Bloch &amp; Schneider, 1801)",,,,60119,2006,EN,A2d+3d+4d
Aetobatus narinari,TRUE,CHONDRICHTHYES,RAJIFORMES,MYLIOBATIDAE,Aetobatus,narinari,"(Euphrasen, 1790)",,,,39415,2006,NT,
Aetomylaeus maculatus,TRUE,CHONDRICHTHYES,RAJIFORMES,MYLIOBATIDAE,Aetomylaeus,maculatus,"(Gray, 1834)",,,,60120,2006,EN,A2d+3d+4d
Aetomylaeus nichofii,TRUE,CHONDRICHTHYES,RAJIFORMES,MYLIOBATIDAE,Aetomylaeus,nichofii,"(Bloch &amp; Schneider, 1801)",,,,41717,2003,VU,A2d+3d+4d
Aetomylaeus vespertilio,TRUE,CHONDRICHTHYES,RAJIFORMES,MYLIOBATIDAE,Aetomylaeus,vespertilio,"(Bleeker, 1852)",,,,60121,2006,EN,A2bd+3d+4d
Alopias pelagicus,TRUE,CHONDRICHTHYES,LAMNIFORMES,ALOPIIDAE,Alopias,pelagicus,"Nakamura, 1935",,,,161597,2009,VU,A2d+4d
Alopias superciliosus,TRUE,CHONDRICHTHYES,LAMNIFORMES,ALOPIIDAE,Alopias,superciliosus,"Lowe, 1841",,,,161696,2009,VU,A2bd
Alopias vulpinus,TRUE,CHONDRICHTHYES,LAMNIFORMES,ALOPIIDAE,Alopias,vulpinus,"(Bonnaterre, 1788)",,,,39339,2009,VU,A2bd+3bd+4bd
Amblyraja badia,TRUE,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Amblyraja,badia,"(Garman, 1899)",,,,161452,2009,LC,
Amblyraja doellojuradoi,TRUE,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Amblyraja,doellojuradoi,"(Pozzi, 1935)",,,,63122,2007,LC,
Amblyraja frerichsi,TRUE,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Amblyraja,frerichsi,"(Krefft, 1968)",,,,44652,2004,DD,
Amblyraja georgiana,TRUE,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Amblyraja,georgiana,"(Norman, 1938)",,,,161490,2009,DD,
Amblyraja hyperborea,TRUE,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Amblyraja,hyperborea,(Collett 1879),,,,63119,2007,LC,
Amblyraja jenseni,TRUE,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Amblyraja,jenseni,"(Bigelow &amp; Schroeder, 1950)",,,,161491,2009,LC,
Amblyraja radiata,TRUE,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Amblyraja,radiata,"(Donovan, 1808)",,,,161542,2009,VU,A2b
Amblyraja reversa,TRUE,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Amblyraja,reversa,"(Lloyd, 1906)",,,,161340,2009,DD,
Amblyraja robertsi,TRUE,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Amblyraja,robertsi,"(Hulley, 1970)",,,,161322,2009,LC,
Amblyraja taaf,TRUE,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Amblyraja,taaf,"(Meissner, 1987)",,,,161392,2009,DD,
Anacanthobatis americanus,TRUE,CHONDRICHTHYES,RAJIFORMES,ANACANTHOBATIDAE,Anacanthobatis,americanus,"Bigelow &amp; Schroeder, 1962",,,,161481,2009,DD,
Anacanthobatis donghaiensis,TRUE,CHONDRICHTHYES,RAJIFORMES,ANACANTHOBATIDAE,Anacanthobatis,donghaiensis,"(Deng, Xiong &amp; Zhan, 1983)",,,,161356,2009,DD,
Anacanthobatis folirostris,TRUE,CHONDRICHTHYES,RAJIFORMES,ANACANTHOBATIDAE,Anacanthobatis,folirostris,"(Bigelow &amp; Schroeder, 1951)",,,,161681,2009,DD,
