Scientific Name,Primary,Class,Order,Family,Genus,Species,Authority,Infrarank,Infrarank Type,Infrarank Authority,Red List Species ID,Modified Year,Category,Criteria
Latimeria chalumnae,TRUE,SARCOPTERYGII,COELACANTHIFORMES,LATIMERIIDAE,Latimeria,chalumnae,"Smith, 1939",,,,11375,2000,CR,A2bcd
Latimeria menadoensis,TRUE,SARCOPTERYGII,COELACANTHIFORMES,LATIMERIIDAE,Latimeria,menadoensis,"Pouyaud, Wirjoatmodjo, Rachmatika, Tjakrawidjaja, Hadiaty &amp; Hadie, 1999",,,,135484,2008,VU,C2a(ii); D2
Protopterus amphibius,TRUE,SARCOPTERYGII,LEPIDOSIRENIFORMES,PROTOPTERIDAE,Protopterus,amphibius,"(Peters, 1844)",,,,182130,2010,LC,
Protopterus annectens,TRUE,SARCOPTERYGII,LEPIDOSIRENIFORMES,PROTOPTERIDAE,Protopterus,annectens,"Poll, 1961",brieni,ssp.,,183101,2010,LC,
Protopterus annectens,TRUE,SARCOPTERYGII,LEPIDOSIRENIFORMES,PROTOPTERIDAE,Protopterus,annectens,"(Owen, 1839)",annectens,ssp.,,183112,2010,LC,
Protopterus annectens,TRUE,SARCOPTERYGII,LEPIDOSIRENIFORMES,PROTOPTERIDAE,Protopterus,annectens,"(Owen, 1839)",,,,169408,2009,LC,
Protopterus dolloi,TRUE,SARCOPTERYGII,LEPIDOSIRENIFORMES,PROTOPTERIDAE,Protopterus,dolloi,"Boulenger, 1900",,,,183033,2010,LC,
Eptatretus alastairi,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Eptatretus,alastairi,"Mincarone &amp; Fernholm, 2010",,,,196013,2013,LC,
Eptatretus astrolabium,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Eptatretus,astrolabium,"Fernholm &amp; Mincarone, 2010",,,,196014,2013,DD,
Eptatretus bischoffii,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Eptatretus,bischoffii,"(Schneider, 1880)",,,,196015,2013,DD,
Eptatretus burgeri,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Eptatretus,burgeri,"(Girard, 1855)",,,,196016,2013,NT,
Eptatretus caribbeaus,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Eptatretus,caribbeaus,"Fernholm, 1982",,,,196017,2013,LC,
Eptatretus carlhubbsi,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Eptatretus,carlhubbsi,"McMillan &amp; Wisner, 1984",,,,196018,2013,LC,
Eptatretus cirrhatus,TRUE,MYXINI,MYXINIFORMES,MYXINIDAE,Eptatretus,cirrhatus,"(Forster, 1801)",,,,154825,2013,LC,
