"","Class","Order","Family","Genus","Scientific Name","Category"
"1","CHONDRICHTHYES","RAJIFORMES","ARHYNCHOBATIDAE","Bathyraja","Bathyraja griseocauda","EN"
"2","CHONDRICHTHYES","CARCHARHINIFORMES","CARCHARHINIDAE","Carcharhinus","Carcharhinus hemiodon","CR"
"3","CHONDRICHTHYES","LAMNIFORMES","ODONTASPIDIDAE","Carcharias","Carcharias taurus","CR"
"4","CHONDRICHTHYES","LAMNIFORMES","CETORHINIDAE","Cetorhinus","Cetorhinus maximus","EN"
"5","CHONDRICHTHYES","RAJIFORMES","DASYATIDAE","Dasyatis","Dasyatis laosensis","EN"
"6","CHONDRICHTHYES","RAJIFORMES","RAJIDAE","Dipturus","Dipturus batis","CR"
"7","CHONDRICHTHYES","RAJIFORMES","RAJIDAE","Dipturus","Dipturus laevis","EN"
"8","CHONDRICHTHYES","RAJIFORMES","RHINOBATIDAE","Glaucostegus","Glaucostegus cemiculus","EN"
"9","CHONDRICHTHYES","CARCHARHINIFORMES","CARCHARHINIDAE","Glyphis","Glyphis gangeticus","CR"
"10","CHONDRICHTHYES","CARCHARHINIFORMES","SCYLIORHINIDAE","Haploblepharus","Haploblepharus kistnasamyi","CR"
"11","CHONDRICHTHYES","RAJIFORMES","DASYATIDAE","Himantura","Himantura kittipongi","EN"
"12","CHONDRICHTHYES","RAJIFORMES","DASYATIDAE","Himantura","Himantura oxyrhyncha","EN"
"13","CHONDRICHTHYES","CARCHARHINIFORMES","SCYLIORHINIDAE","Holohalaelurus","Holohalaelurus punctatus","EN"
"14","CHONDRICHTHYES","CARCHARHINIFORMES","CARCHARHINIDAE","Lamiopsis","Lamiopsis temminckii","EN"
"15","CHONDRICHTHYES","LAMNIFORMES","LAMNIDAE","Lamna","Lamna nasus","EN"
"16","CHONDRICHTHYES","LAMNIFORMES","LAMNIDAE","Lamna","Lamna nasus","CR"
"17","CHONDRICHTHYES","RAJIFORMES","RAJIDAE","Leucoraja","Leucoraja ocellata","EN"
"18","CHONDRICHTHYES","RAJIFORMES","MOBULIDAE","Mobula","Mobula mobular","EN"
"19","CHONDRICHTHYES","RAJIFORMES","MYLIOBATIDAE","Myliobatis","Myliobatis hamlyni","EN"
"20","CHONDRICHTHYES","CARCHARHINIFORMES","CARCHARHINIDAE","Negaprion","Negaprion acutidens","EN"
"21","CHONDRICHTHYES","RAJIFORMES","RAJIDAE","Okamejei","Okamejei pita","CR"
"22","CHONDRICHTHYES","RAJIFORMES","DASYATIDAE","Pastinachus","Pastinachus solocirostris","EN"
"23","CHONDRICHTHYES","RAJIFORMES","PRISTIDAE","Pristis","Pristis clavata","EN"
"24","CHONDRICHTHYES","RAJIFORMES","PRISTIDAE","Pristis","Pristis pectinata","CR"
"25","CHONDRICHTHYES","RAJIFORMES","PRISTIDAE","Pristis","Pristis pectinata","CR"
"26","CHONDRICHTHYES","RAJIFORMES","PRISTIDAE","Pristis","Pristis pristis","CR"
"27","CHONDRICHTHYES","RAJIFORMES","PRISTIDAE","Pristis","Pristis pristis","CR"
"28","CHONDRICHTHYES","RAJIFORMES","PRISTIDAE","Pristis","Pristis zijsron","CR"
"29","CHONDRICHTHYES","RAJIFORMES","RAJIDAE","Raja","Raja undulata","EN"
"30","CHONDRICHTHYES","RAJIFORMES","RHYNCHOBATIDAE","Rhynchobatus","Rhynchobatus luebberti","EN"
"31","CHONDRICHTHYES","RAJIFORMES","RAJIDAE","Rostroraja","Rostroraja alba","EN"
"32","CHONDRICHTHYES","CARCHARHINIFORMES","SPHYRNIDAE","Sphyrna","Sphyrna lewini","EN"
"33","CHONDRICHTHYES","CARCHARHINIFORMES","SPHYRNIDAE","Sphyrna","Sphyrna lewini","EN"
"34","CHONDRICHTHYES","CARCHARHINIFORMES","SPHYRNIDAE","Sphyrna","Sphyrna lewini","EN"
"35","CHONDRICHTHYES","CARCHARHINIFORMES","SPHYRNIDAE","Sphyrna","Sphyrna mokarran","EN"
"36","CHONDRICHTHYES","SQUALIFORMES","SQUALIDAE","Squalus","Squalus acanthias","EN"
"37","CHONDRICHTHYES","SQUALIFORMES","SQUALIDAE","Squalus","Squalus acanthias","CR"
"38","CHONDRICHTHYES","SQUATINIFORMES","SQUATINIDAE","Squatina","Squatina formosa","EN"
"39","CHONDRICHTHYES","SQUATINIFORMES","SQUATINIDAE","Squatina","Squatina guggenheim","EN"
"40","CHONDRICHTHYES","SQUATINIFORMES","SQUATINIDAE","Squatina","Squatina punctata","EN"
"41","CHONDRICHTHYES","SQUATINIFORMES","SQUATINIDAE","Squatina","Squatina squatina","CR"
"42","CHONDRICHTHYES","CARCHARHINIFORMES","TRIAKIDAE","Triakis","Triakis acutipinna","EN"
"43","CHONDRICHTHYES","RAJIFORMES","UROLOPHIDAE","Urolophus","Urolophus javanicus","CR"
"44","CHONDRICHTHYES","RAJIFORMES","RAJIDAE","Zearaja","Zearaja maugeana","EN"
